tempat,tarikhMula,tarikhTamat,Tahun,Negeri
Sg. Bakir/ Sg. Simanggang,15/12,15/12,2008,Sarawak
Sg. Sarawak,9/11,9/11,2008,Sarawak
Sg. Jarum,11/6,11/6,2009,Perlis
Sg. Pelarit,11/6,11/6,2009,Perlis
Sg. Buluh,11/6,11/6,2009,Perlis
Sg. Mentalun,29/3,29/3,2009,Perlis
Sg. Kedah,9/4,10/4,2009,Kedah
Sg. Kedah,7/11,10/11,2009,Kedah
Sg. Kedah,16/11,19/11,2009,Kedah
Sg. Setar,9/4,10/4,2009,Kedah
Sg. Pdg. Kerbau,28/8,31/8,2009,Kedah
Sg. Pendang,9/4,10/4,2009,Kedah
Sg. Pendang,&-&,&-&,2009,Kedah
Sg. Pendang,07/11,10/11,2009,Kedah
Sg. Anak Bkt.,9/4,10/4,2009,Kedah
Sg. Anak Bkt.,7/11,10/11,2009,Kedah
Sg. Baru,9/4,10/4,2009,Kedah
Sg. Baru,&-&,&-&,2009,Kedah
Sg. Baru,07/11,10/11,2009,Kedah
Sg. Pdg. Terap,7/11,10/11,2009,Kedah
Sg. Bata,7/11,10/11,2009,Kedah
Sg. Temin,7/11,10/11,2009,Kedah
Sg. Udang,11/7,12/7,2009,Kedah
Sg. Udang,23/8,23/8,2009,Kedah
Sg. Muda,8/4,10/4,2009,Kedah
Sg. Muda,15/4,15/4,2009,Kedah
Sg. Muda,29/8,29/8,2009,Kedah
Sg. Muda,11/11,14/11,2009,Kedah
Sg. Kupang,7/4,8/4,2009,Kedah
Sg. Kupang,27/8,27/8,2009,Kedah
Sg. Ketil,7/4,8/4,2009,Kedah
Sg. Ketil,27/8,27/8,2009,Kedah
Sg. Melaka,28/8,29/8,2009,Kedah
Sg. Melaka,23/9,23/9,2009,Kedah
Sg. Limbong,23/9,23/9,2009,Kedah
Sg. Batu Asah,23/9,23/9,2009,Kedah
Sg. Tarom,23/9,23/9,2009,Kedah
Sg. Chenang,28/8,29/8,2009,Kedah
Sg. Chenang,23/9,23/9,2009,Kedah
Sg. Jarak,11/11,14/11,2009,PulauPinang
Sg. Kulim,21/3,21/3,2009,PulauPinang
Sg. Kulim,6/4,7/4,2009,PulauPinang
Sg. Kulim,13/4,13/4,2009,PulauPinang
Sg. Kulim,15/4,15/4,2009,PulauPinang
Sg. Mengkuang,29/8,29/8,2009,PulauPinang
Sg. Mengkuang,10/11,10/11,2009,PulauPinang
Sg. Mengkuang,14/11,14/11,2009,PulauPinang
Sg. Selarong,15/4,15/4,2009,PulauPinang
Sg. Seluang,6/4,7/4,2009,PulauPinang
Sg. Seluang,13/4,13/4,2009,PulauPinang
Sg. Seluang,15/4,15/4,2009,PulauPinang
Sg. Ular,15/4,15/4,2009,PulauPinang
Sg. Kijang,12/7,12/7,2009,PulauPinang
Sg. Permatang Rawa,29/8,29/8,2009,PulauPinang
Sg. Jawi,21/3,21/3,2009,PulauPinang
Sg. Jawi,11/11,12/11,2009,PulauPinang
Sg. Pinang,9/4,9/4,2009,PulauPinang
Sg. Pinang,21/4,21/4,2009,PulauPinang
Sg. Pinang,3/5,3/5,2009,PulauPinang
Sg. Pinang,7/7,7/7,2009,PulauPinang
Pt. PN6,11/7,11/7,2009,PulauPinang
Sg. Kecil,11/7,11/7,2009,PulauPinang
Sg. Air Hitam,18/9,18/9,2009,PulauPinang
Sg. Air Putih,14/11,15/11,2009,PulauPinang
Sg. Ijok,1/1,1/1,2009,Perak
Sg. Ijok,11/11,11/11,2009,Perak
Sg. Ijok,11/12,11/12,2009,Perak
Sg. Kerian,4/2,4/2,4/8,4/11
Sg. Kerian,4/3,4/3,4/8,4/11
Sg. Kerian,16/3,18/3,4/8,4/11
Sg. Kerian,13/4,15/4,4/8,4/11
Sg. Kerian,4/6,4/6,4/8,4/11
Sg. Kerian,4/7,4/7,4/8,4/11
Sg. Selama,11/12,11/12,2009,Perak
Sg. Perak,5/1,7/1,2009,Perak
Sg. Perak,13/4,15/4,2009,Perak
Sg. Perak,1/5,1/5,2009,Perak
Sg. Perak,1/7,1/7,2009,Perak
Sg. Perak,14/11,19/11,2009,Perak
Sg. Kangsar,1/1,1/1,2009,Perak
Sg. Pelus,1/2,1/2,2009,Perak
Sg. Pelus,29/10,29/10,2009,Perak
Sg. Papan,10/5,10/5,2009,Perak
Sg. Papan,18/9,18/9,2009,Perak
Sg. Temong,23/11,23/11,2009,Perak
Sg. Chempias,23/11,23/11,2009,Perak
Sg. Siput Chandan,23/11,23/11,2009,Perak
Sg. Sira Rambutan / Sg. Lenggong,23/11,23/11,2009,Perak
Sg. Nerok,23/11,23/11,2009,Perak
Sg. Ayer Tawar,27/10,27/10,2009,Perak
Sg. Hangai,27/10,27/10,2009,Perak
Sg. Kenderong,27/10,27/10,2009,Perak
Sg. Pari,14/1,15/1,10/3,16/3
Sg. Pari,17/1,17/1,10/3,16/3
Sg. Pari,3/2,3/2,10/3,16/3
Sg. Pari,10/2,10/2,10/3,16/3
Sg. Pari,1/3,1/3,10/3,16/3
Sg. Pari,4/3,4/3,10/3,16/3
Sg. Pinji,19/3,19/3,2009,Perak
Sg. Pinji,25/3,26/3,2009,Perak
Sg. Pinji,9/4,9/4,2009,Perak
Sg. Pinji,15/4,15/4,2009,Perak
Sg. Pinji,7/5,8/5,2009,Perak
Sg. Pinji,15/5,15/5,2009,Perak
Sg. Pinji,25/5,25/5,2009,Perak
Sg. Pinji,7/7,7/7,2009,Perak
Sg. Pinji,24/7,24/7,2009,Perak
Sg. Pinji,28/7,28/7,2009,Perak
Sg. Pinji,21/8,22/8,2009,Perak
Sg. Pinji,28/8,28/8,2009,Perak
Sg. Pinji,4/9,4/9,2009,Perak
Sg. Pinji,13/9,13/9,2009,Perak
Sg. Pinji,18/9,18/9,2009,Perak
Sg. Pinji,23/10,23/10,2009,Perak
Sg. Pinji,3/11,3/11,2009,Perak
Sg. Pinji,8/12,8/12,2009,Perak
Sg. Selangor,12/4,12/4,2009,Selangor
Sg. Selangor,18/11,18/11,2009,Selangor
Sg. Selangor / Sg. Bernam,30/3,30/3,2009,Selangor
Sg. Kerling,16/4,16/4,2009,Selangor
Sg. Selangor / Sg. Batang Kali,27/9,27/9,2009,Selangor
Sg. Buloh,26/12,26/12,2009,Selangor
Sg. Klang / Sg. Rasau,12/4,12/4,2009,Selangor
Sg. Klang / Sg. Air Itam,23/2,23/2,2009,Selangor
Sg. Batu,13/4,13/4,2009,Selangor
Sg. Batu,15/4,15/4,2009,Selangor
Sg. Batu,7/11,7/11,2009,Selangor
Sg. Langat,13/3,13/3,2009,Selangor
Sg. Langat,23/3,24/3,2009,Selangor
Sg. Langat,13/4,13/4,2009,Selangor
Sg. Langat,26/4,26/4,2009,Selangor
Sg. Langat,1/9,1/9,2009,Selangor
Sg. Langat,21/10,21/10,2009,Selangor
Sg. Langat,10/11,10/11,2009,Selangor
Sg. Langat / Sg. Mukim Batu,18/9,18/9,2009,Selangor
Sg. Langat / Sg. Bangi,22/2,22/2,2009,Selangor
Sg. Beranang / Sg. Sompo,1/3,2/3,2009,Selangor
Sg. Jai,1/3,1/3,2009,Selangor
Sg. Btg. Labu,13/4,13/4,2009,Selangor
Sg. Sepang Besar,12/4,12/4,2009,Selangor
Sg. Sepang Besar,18/11,18/11,2009,Selangor
Sg. Sepang Besar / Sg. Keroh,14/5,14/5,2009,Selangor
Sg. Batu,3/2,3/2,2009,KualaLumpur
Sg. Batu,3/3,3/3,2009,KualaLumpur
Sg. Batu,13/4,13/4,2009,KualaLumpur
Sg. Batu,15/4,15/4,2009,KualaLumpur
Sg. Batu,7/11,7/11,2009,KualaLumpur
Sg. Keroh,3/2,3/2,2009,KualaLumpur
Sg. Keroh,3/3,3/3,2009,KualaLumpur
Sg. Gombak,3/3,3/3,2009,KualaLumpur
Sg. Bunus,3/3,3/3,2009,KualaLumpur
Sg. Kerayong,3/12,3/12,2009,KualaLumpur
Sg. Lenggeng,1/3,1/3,2009,NegeriSembilan
Anak Air Sg. Lenggeng,1/3,1/3,2009,NegeriSembilan
Sg. Mendom,1/3,1/3,2009,NegeriSembilan
Sg. Temiang,1/3,1/3,2009,NegeriSembilan
Sg. Temiang,31/10,31/10,2009,NegeriSembilan
Sg. Btg. Penar,1/3,1/3,2009,NegeriSembilan
Sg. Btg. Penar,15/4,15/4,2009,NegeriSembilan
Sg. Btg. Penar,28/10,28/10,2009,NegeriSembilan
Sg. Paroi,1/3,1/3,2009,NegeriSembilan
Sg. Paroi,15/4,15/4,2009,NegeriSembilan
Sg. Paroi,28/10,28/10,2009,NegeriSembilan
Sg. Linggi,1/3,1/3,2009,NegeriSembilan
Sg. Linggi,15/4,15/4,2009,NegeriSembilan
Sg. Linggi,28/10,28/10,2009,NegeriSembilan
Sg. Btg. Jerlang,1/3,1/3,2009,NegeriSembilan
Sg. Rembau,1/3,1/3,2009,NegeriSembilan
Sg. Pedas,1/3,1/3,2009,NegeriSembilan
Sg. Siput,2/3,2/3,2009,NegeriSembilan
Sg. Jernih,2/3,2/3,2009,NegeriSembilan
Sg. Simpang Ampat,2/3,2/3,2009,NegeriSembilan
Sg. Buloh,2/3,2/3,2009,Melaka
Sg. Lendu,2/3,2/3,2009,Melaka
Sg. Rantau Panjang,2/3,2/3,2009,Melaka
Sg. Btg. Melekek,2/3,2/3,2009,Melaka
Sg. Kemus,2/3,2/3,2009,Melaka
Sg. Perling,2/3,2/3,2009,Melaka
Sg. Cerana Putih,2/3,2/3,2009,Melaka
Sg. Melaka,27/7,27/7,2009,Melaka
Sg. Melaka,5/8,5/8,2009,Melaka
Sg. Putat,27/7,27/7,2009,Melaka
Sg. Merlimau,27/7,27/7,2009,Melaka
Sg. Terachi,1/3,1/3,2009,Johor
Sg. Kundur,1/3,1/3,2009,Johor
Sg. Triang,27/8,27/8,2009,Pahang
Sg. Triang,6/12,6/12,2009,Pahang
Sg. Pahang,2/1,6/1,2009,Pahang
Sg. Pahang,5/12,5/12,2009,Pahang
Sg. Maran,5/12,5/12,2009,Pahang
Sg. Chedong,5/12,5/12,2009,Pahang
Sg. Penur,5/12,5/12,2009,Pahang
Sg. Kuantan,2/1,6/1,2009,Pahang
Sg. Kuantan,5/12,5/12,2009,Pahang
Sg. Belat,2/1,6/1,2009,Pahang
Sg. Belat,5/12,5/12,2009,Pahang
Sg. Soi,5/12,5/12,2009,Pahang
Sg. Pandan,5/12,5/12,2009,Pahang
Sg. Air Hitam,5/12,5/12,2009,Pahang
Sg. Lepar,5/12,5/12,2009,Pahang
Cg. Cherating,5/12,5/12,2009,Pahang
Sg. Kemaman,4/1,4/1,2009,Terengganu
Sg. Kemaman,3/12,4/12,2009,Terengganu
Sg. Chukai,3/12,4/12,2009,Terengganu
Sg. Ibok,3/12,4/12,2009,Terengganu
Sg. Mercang,21/11,28/11,2009,Terengganu
Sg. Marang,21/11,28/11,2009,Terengganu
Sg. Terengganu,11/1,12/1,2009,Terengganu
Sg. Nerus,11/1,12/1,2009,Terengganu
Sg. Nerus,6/11,8/11,2009,Terengganu
Sg. Nerus,22/11,22/11,2009,Terengganu
Sg. Berang,6/11,8/11,2009,Terengganu
Sg. Menerong,6/11,8/11,2009,Terengganu
Sg. Setiu,4/1,4/1,2009,Terengganu
Sg. Setiu,6/11,8/11,2009,Terengganu
Sg. Setiu,22/11,22/11,2009,Terengganu
Sg. Tarom,4/1,4/1,2009,Terengganu
Sg. Besut,6/11,8/11,2009,Terengganu
Sg. Besut,21/11,28/11,2009,Terengganu
Sg. Baring,4/11,7/11,2009,Terengganu
Sg. Yong,2/1,4/1,2009,Terengganu
Sg. Yong,4/11,7/11,2009,Terengganu
Sg. Gali,2/1,4/1,2009,Terengganu
Sg. Gali,4/11,7/11,2009,Terengganu
Sg. Taweh,4/11,7/11,2009,Terengganu
Sg. Telosan,4/11,7/11,2009,Terengganu
Sg. Tualang,4/11,7/11,2009,Terengganu
Sg. Danan,4/11,7/11,2009,Terengganu
Sg. Abal,4/11,7/11,2009,Terengganu
Sg. Kelong,2/11,4/11,2009,Terengganu
Sg. Kemasin,11/7,11/7,2009,Terengganu
Sg. Sat,4/11,7/11,2009,Terengganu
Sg. Sat,19/11,25/11,2009,Terengganu
Sg. Pergau,11/6,11/6,2009,Terengganu
Sg. Kuala Nal,3/1,6/1,2009,Terengganu
Sg. Kubota,25/2,25/2,2009,Sabah
Sg. Kinabutan,25/2,25/2,2009,Sabah
Sg. Membelua,25/2,25/2,2009,Sabah
Sg. Tawau,25/2,25/2,2009,Sabah
Sg. Tawau,17/4,17/4,2009,Sabah
Sg. Apas,17/4,17/4,2009,Sabah
Sg. Kinabatangan,4/2,23/2,2009,Sabah
Sg. Bengkoka,14/1,14/1,2009,Sabah
Sg. Bengkoka,16/1,16/1,2009,Sabah
Sg. Taka,14/1,14/1,2009,Sabah
Sg. Taka,16/1,16/1,2009,Sabah
Sg. Kelipoun,14/1,14/1,2009,Sabah
Sg. Kelipoun,16/1,16/1,2009,Sabah
Sg. Rukom,14/1,14/1,2009,Sabah
Sg. Rukom,16/1,16/1,2009,Sabah
Sg. Toyok,14/1,14/1,2009,Sabah
Sg. Toyok,16/1,16/1,2009,Sabah
Sg. Tandek,3/1,4/1,2009,Sabah
Sg. Tandek,12/1,16/1,2009,Sabah
Sg. Magarutung,3/1,4/1,2009,Sabah
Sg. Magarutung,12/1,16/1,2009,Sabah
Sg. Rasak,3/1,4/1,2009,Sabah
Sg. Rasak,12/1,16/1,2009,Sabah
Sg. Minardasung,3/1,4/1,2009,Sabah
Sg. Linukaan,12/1,16/1,2009,Sabah
Sg. Mondingi,12/1,16/1,2009,Sabah
Sg. Bongon,3/1,4/1,2009,Sabah
Sg. Bongon,12/1,16/1,2009,Sabah
Sg. Bandau,3/1,4/1,2009,Sabah
Sg. Bandau,12/12,16/12,2009,Sabah
Sg. Langkon,12/1,16/1,2009,Sabah
Sg. Tamalang,3/1,3/1,2009,Sabah
Sg. Rampai,3/1,3/1,2009,Sabah
Sg. Balagaton / Sg. Merah,12/1,16/1,2009,Sabah
Sg. Longop,3/1,4/1,2009,Sabah
Sg. Longop,12/1,16/1,2009,Sabah
Sg. Sook,24/1,24/1,2009,Sabah
Sg. Biah,24/1,24/1,2009,Sabah
Sg. Kuaran,24/1,24/1,2009,Sabah
Btg. Limbang,4/2,6/2,2009,Sarawak
Sg. Nyelong,11/1,14/1,2009,Sarawak
Sg. Maung Kanan,1/10,1/10,2009,Sarawak
Btg. Mukah/Kuala Mukah/Sg. Tilian/Sg. Bedil/Sg. Kuala Lama,9/1,13/1,2009,Sarawak
Btg. Oya,9/1,13/1,2009,Sarawak
Btg. Rajang,10/1,14/1,2009,Sarawak
Btg. Rajang,29/1,2/2,2009,Sarawak
Sg. Kedup,11/1,13/1,2009,Sarawak
Sg. Serian,11/1,13/1,2009,Sarawak
Sg. Seduan,10/1,13/1,2009,Sarawak
Btg. Layar,11/1,13/1,2009,Sarawak
Btg. Layar,28/1,29/1,2009,Sarawak
Sg. Sebuyau,28/1,31/1,2009,Sarawak
Sg. Batang Sadong/ Sg. Sebangan/ Sg. Sebuyau,28/1,31/1,2009,Sarawak
Sg. Sadong,11/1,13/1,2009,Sarawak
Sg. Sarawak,10/1,12/1,2009,Sarawak
Sg. Moyan,11/1,12/1,2009,Sarawak
Sg. Kayan,11/1,13/1,2009,Sarawak
Sg. Ketup/ Sg. Karu/ Sg. Ruben,11/1,13/1,2009,Sarawak
Sg. Maung Kanan,10/1,12/1,2009,Sarawak
Sg. Pandungan/ Sg. Maung/,11/1,11/1,2009,Sarawak
Sg. Maung Kiri,11/1,12/1,2009,Sarawak
Sg. Maung Paroh,12/1,12/1,2009,Sarawak
Sg. Tengah & Minjab,11/1,11/1,2009,Sarawak
Sg. Kulim,17/10,18/10,2010,PulauPinang
Sg. Tok Sani,17/10,18/10,2010,PulauPinang
Sg. Machang Bubok,13/1,13/1,2010,PulauPinang
Sg. Machang Bubok,21/1,21/1,2010,PulauPinang
Sg. Junjong,13/1,15/1,2010,PulauPinang
Sg. Junjong Mati,13/1,13/1,2010,PulauPinang
Sg. Junjong Mati,21/1,21/1,2010,PulauPinang
Sg. Junjong Mati,2/10,2/10,2010,PulauPinang
Sg. Pinang,27/8,27/8,2010,PulauPinang
Sg. Jelutong,2/11,2/11,2010,PulauPinang
Sg. Kerian,13/1,13/1,2010,Perak
Sg. Kerian,19/8,19/8,2010,Perak
Sg. Kerian,29/10,29/10,2010,Perak
Sg. Perak,30/4,3/5,2010,Perak
Sg. Perak,2/11,3/11,2010,Perak
Sg. Perak,26/11,29/11,2010,Perak
Sg. Perak / Sg. Kinta,1/1,8/1,11/10,1/11
Sg. Perak / Sg. Dedap,16/11,19/11,2010,Perak
Sg. Klah,26/4,26/4,2010,Perak
Sg. Klah,9/11,9/11,2010,Perak
Sg. Pari,28/4,28/4,2010,Perak
Sungai Trolak,25/1,26/1,2010,Perak
Sg. Keneriang / Sg. Lawin,25/1,26/1,2010,Perak
Sg. Kinta / Sg. Tumbuh,30/4,2/5,2010,Perak
Sg. Rawang,25/4,25/4,2010,Selangor
Sg. Rawang,9/5,9/5,2010,Selangor
Sg. Rawang,21/9,21/9,2010,Selangor
Sg. Rawang,26/9,26/9,2010,Selangor
Sg. Rawang,17/11,17/11,2010,Selangor
Sg. Buloh,14/4,14/4,2010,Selangor
Sg. Klang,9/4,9/4,2010,Selangor
Sg. Klang,19/4,19/4,2010,Selangor
Sg. Klang,4/9,4/9,2010,Selangor
Sg. Klang,8/10,8/10,2010,Selangor
Sg. Kuyoh,3/4,3/4,2010,Selangor
Sg. Kuyoh,9/4,9/4,2010,Selangor
Sg. Damansara,3/4,3/4,2010,Selangor
Sg. Damansara,9/4,9/4,2010,Selangor
Sg. Damansara,13/4,13/4,2010,Selangor
Sg. Damansara,19/4,19/4,2010,Selangor
Sg. Damansara,4/9,4/9,2010,Selangor
Sg. Rasau,3/4,3/4,2010,Selangor
Sg. Ampang,*No.-*No.,*No.-*No.,2010,Selangor
Sg. Ampang,info-info,info-info,2010,Selangor
Sg. Ampang,on-on,on-on,2010,Selangor
Sg. Ampang,date-date,date-date,2010,Selangor
Sg. Langat,9/4,9/4,2010,Selangor
Sg. Langat,19/4,19/4,2010,Selangor
Sg. Langat,17/11,19/11,2010,Selangor
Sg. Cheras,*No.-*No.,*No.-*No.,2010,Selangor
Sg. Cheras,info-info,info-info,2010,Selangor
Sg. Cheras,on-on,on-on,2010,Selangor
Sg. Cheras,date-date,date-date,2010,Selangor
Sg. Balak,*No.-*No.,*No.-*No.,2010,Selangor
Sg. Balak,info-info,info-info,2010,Selangor
Sg. Balak,on-on,on-on,2010,Selangor
Sg. Balak,date-date,date-date,2010,Selangor
Sg. Jai,9/4,9/4,2010,Selangor
Sg. Sompo,9/4,9/4,2010,Selangor
Sg. Klang,9/4,9/4,2010,KualaLumpur
Sg. Klang,19/4,19/4,2010,KualaLumpur
Sg. Klang,26/4,26/4,2010,KualaLumpur
Sg. Klang,6/6,6/6,2010,KualaLumpur
Sg. Klang,4/9,4/9,2010,KualaLumpur
Sg. Klang,8/10,8/10,2010,KualaLumpur
Sg. Klang,29/10,29/10,2010,KualaLumpur
Sg. Batu,25/1,25/1,2010,KualaLumpur
Sg. Batu,9/4,9/4,2010,KualaLumpur
Sg. Batu,26/4,26/4,2010,KualaLumpur
Sg. Gombak,9/4,9/4,2010,KualaLumpur
Sg. Gombak,26/4,26/4,2010,KualaLumpur
Sg. Bunus,26/4,26/4,2010,KualaLumpur
Sg. Bunus,6/6,6/6,2010,KualaLumpur
Sg. Linggi,17/11,17/11,2010,NegeriSembilan
Sg. Melaka,29/8,29/8,2010,Melaka
Sg. Skudai,18/1,18/1,2010,Johor
Sg. Pahang,27/12,27/12,2010,Pahang
Sg. Pahang,23/12,29/12,2010,Pahang
Sg. Jelai,23/12,23/12,2010,Pahang
Sg. Chukai,16/12,17/12,2010,Terengganu
Sg. Dungun,15/12,15/12,2010,Terengganu
Sg. Terengganu,18/12,18/12,2010,Terengganu
Sg. Nerus,17/12,17/12,2010,Terengganu
Sg. Takir / Sg. Buaya / Sg. Tepoh,18/11,18/11,2010,Terengganu
Sg. Setiu,16/12,18/12,2010,Terengganu
Sg. Besut,16/12,18/12,2010,Terengganu
Sg. Moyog,13/3,14/3,2010,Sabah
Sg. Mempikit,3/4,3/4,2010,Sabah
Sg. Naluyan,24/11,25/11,2010,Sabah
